rule_type,source_tag,normalized_tags,description
EXACT,低油,健康,精确标签映射
EXACT,低盐,健康,精确标签映射
EXACT,低负担,健康,精确标签映射
EXACT,偏甜,甜口,精确标签映射
EXACT,可做半份,小份,精确标签映射
EXACT,可半份,小份,精确标签映射
EXACT,可少辣,可调辣,精确标签映射
EXACT,可选不辣,可调辣,精确标签映射
EXACT,可选微辣,可调辣,精确标签映射
EXACT,咸香,咸鲜,精确标签映射
EXACT,咸鲜,咸鲜,精确标签映射
EXACT,均衡,健康,精确标签映射
EXACT,大众友好,大众,精确标签映射
EXACT,奶香,甜口|奶制品,精确标签映射
EXACT,孜然,牛羊肉,精确标签映射
EXACT,孜然咸香,牛羊肉|咸鲜,精确标签映射
EXACT,家常,家常,精确标签映射
EXACT,小面,粉面|辣味,精确标签映射
EXACT,少油,健康,精确标签映射
EXACT,少油可选,健康,精确标签映射
EXACT,少油少盐,健康,精确标签映射
EXACT,少油少盐可选,健康,精确标签映射
EXACT,微甜,甜口,精确标签映射
EXACT,杂粮饭,杂粮|米饭,精确标签映射
EXACT,果香,甜口,精确标签映射
EXACT,椰香,甜口,精确标签映射
EXACT,汤面,汤类|面食,精确标签映射
EXACT,汤香,汤类,精确标签映射
EXACT,汤鲜,汤类|清淡,精确标签映射
EXACT,油泼,辣味|面食,精确标签映射
EXACT,浓油赤酱,家常,精确标签映射
EXACT,浓香,家常,精确标签映射
EXACT,海鲜,海鲜,精确标签映射
EXACT,清汤,清淡|汤类,精确标签映射
EXACT,清淡,清淡,精确标签映射
EXACT,清淡友好,清淡,精确标签映射
EXACT,清爽,清淡,精确标签映射
EXACT,清甜,甜口,精确标签映射
EXACT,清真友好,清真,精确标签映射
EXACT,清真需另设专锅,清真,精确标签映射
EXACT,清真需求,清真,精确标签映射
EXACT,清鲜,清淡,精确标签映射
EXACT,炖香,家常,精确标签映射
EXACT,牛羊肉,牛羊肉,精确标签映射
EXACT,甜咸,甜口,精确标签映射
EXACT,甜辣,辣味|甜口,精确标签映射
EXACT,甜香,甜口,精确标签映射
EXACT,米粉,粉面,精确标签映射
EXACT,米线,粉面,精确标签映射
EXACT,米面结合,米饭|面食,精确标签映射
EXACT,米饭+粥粉面,米饭|粥|粉面,精确标签映射
EXACT,米饭为主,米饭,精确标签映射
EXACT,米饭米粉,米饭|粉面,精确标签映射
EXACT,米饭粉面,米饭|粉面,精确标签映射
EXACT,粉,粉面,精确标签映射
EXACT,粥粉面,粥|粉面,精确标签映射
EXACT,糌粑,杂粮,精确标签映射
EXACT,素食友好,素食,精确标签映射
EXACT,素食可选,素食,精确标签映射
EXACT,红油,辣味,精确标签映射
EXACT,葱香,家常,精确标签映射
EXACT,蒜香,家常,精确标签映射
EXACT,轻食友好,轻食|健康,精确标签映射
EXACT,辣度可调,辣味|可调辣,精确标签映射
EXACT,酱香,家常,精确标签映射
EXACT,酸甜辣,辣味|酸香|甜口,精确标签映射
EXACT,酸辣,辣味|酸香,精确标签映射
EXACT,重口,辣味,精确标签映射
EXACT,青稞,杂粮,精确标签映射
EXACT,面,面食,精确标签映射
EXACT,面包,面食,精确标签映射
EXACT,面食为主,面食,精确标签映射
EXACT,饼,面食,精确标签映射
EXACT,馕,面食,精确标签映射
EXACT,香辣,辣味,精确标签映射
EXACT,鲜甜,清淡|甜口,精确标签映射
EXACT,鲜辣,辣味,精确标签映射
EXACT,鲜香,清淡,精确标签映射
EXACT,麻辣,辣味,精确标签映射
KEYWORD,*面食*,面食,关键词兜底映射
KEYWORD,*面点*,面食,关键词兜底映射
KEYWORD,*面*,面食,关键词兜底映射
KEYWORD,*米饭*,米饭,关键词兜底映射
KEYWORD,*盖饭*,米饭,关键词兜底映射
KEYWORD,*粉*,粉面,关键词兜底映射
KEYWORD,*米线*,粉面,关键词兜底映射
KEYWORD,*粥*,粥,关键词兜底映射
KEYWORD,*杂粮*,杂粮,关键词兜底映射
KEYWORD,*甜品*,甜口,关键词兜底映射
KEYWORD,*饮品*,饮品,关键词兜底映射
KEYWORD,*咖啡*,饮品,关键词兜底映射
KEYWORD,*奶*,奶制品,关键词兜底映射
KEYWORD,*火锅*,辣味,关键词兜底映射
KEYWORD,*花椒*,辣味,关键词兜底映射
KEYWORD,*辣椒*,辣味,关键词兜底映射
KEYWORD,*麻辣*,辣味,关键词兜底映射
KEYWORD,*香辣*,辣味,关键词兜底映射
KEYWORD,*酸辣*,辣味|酸香,关键词兜底映射
KEYWORD,*酸菜*,酸香,关键词兜底映射
KEYWORD,*酸汤*,酸香,关键词兜底映射
KEYWORD,*醋香*,酸香,关键词兜底映射
KEYWORD,*少辣*,可调辣,关键词兜底映射
KEYWORD,*不辣*,可调辣,关键词兜底映射
KEYWORD,*辣*,辣味,关键词兜底映射
KEYWORD,*清淡*,清淡,关键词兜底映射
KEYWORD,*清鲜*,清淡,关键词兜底映射
KEYWORD,*咸鲜*,咸鲜,关键词兜底映射
KEYWORD,*家常*,家常,关键词兜底映射
KEYWORD,*酱香*,家常,关键词兜底映射
KEYWORD,*炖菜*,家常,关键词兜底映射
KEYWORD,*自选*,快餐,关键词兜底映射
KEYWORD,*打菜*,快餐,关键词兜底映射
KEYWORD,*小吃*,快餐,关键词兜底映射
KEYWORD,*汤*,汤类,关键词兜底映射
KEYWORD,*涮肉*,牛羊肉,关键词兜底映射
KEYWORD,*牛肉*,牛羊肉,关键词兜底映射
KEYWORD,*羊肉*,牛羊肉,关键词兜底映射
KEYWORD,*牛羊肉*,牛羊肉,关键词兜底映射
KEYWORD,*海鲜*,海鲜,关键词兜底映射
KEYWORD,*海味*,海鲜,关键词兜底映射
KEYWORD,*清真*,清真,关键词兜底映射
KEYWORD,*素食*,素食,关键词兜底映射
KEYWORD,*轻食*,轻食|健康,关键词兜底映射
KEYWORD,*沙拉*,轻食|健康,关键词兜底映射
KEYWORD,*水果*,蔬果|健康,关键词兜底映射
KEYWORD,*少油*,健康,关键词兜底映射
KEYWORD,*低盐*,健康,关键词兜底映射
KEYWORD,*半份*,小份,关键词兜底映射
KEYWORD,*快餐*,快餐,关键词兜底映射
KEYWORD,*早餐*,早餐,关键词兜底映射
